Time(s),ModelPosX,ModelPosY,ModelPosZ,ModelVelX,ModelVelY,ModelVelZ,MeasForceX,MeasForceY,MeasForceZ
0.000,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.029,0.040,-0.244
0.016,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.037,0.032,-0.241
0.031,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.002,0.010,-0.232
0.047,0.036,-0.279,-0.172,0.000,0.000,-0.000,-0.000,0.013,-0.244
0.047,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.025,0.030,-0.238
0.062,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.013,0.009,-0.247
0.078,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.009,0.011,-0.253
0.094,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.049,0.021,-0.265
0.094,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.009,0.011,-0.247
0.109,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.033,0.030,-0.253
0.125,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.017,0.022,-0.253
0.141,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.021,0.013,-0.250
0.141,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.028,0.048,-0.250
0.156,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.022,0.020,-0.247
0.172,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.016,-0.003,-0.226
0.187,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.024,0.035,-0.244
0.203,0.036,-0.279,-0.172,0.000,0.000,-0.000,0.025,0.038,-0.244
0.203,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.030,0.051,-0.238
0.219,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.015,0.024,-0.253
0.234,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.046,0.031,-0.232
0.234,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.022,0.032,-0.215
0.250,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.010,0.014,-0.265
0.266,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.002,0.010,-0.238
0.281,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.016,0.008,-0.265
0.281,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.013,0.013,-0.232
0.297,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.012,0.006,-0.265
0.312,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.008,0.015,-0.232
0.328,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.011,0.033,-0.221
0.328,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.036,0.013,-0.253
0.344,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.031,0.015,-0.253
0.359,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.009,0.007,-0.232
0.375,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.009,0.044,-0.235
0.375,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.003,0.018,-0.247
0.391,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.002,0.010,-0.265
0.406,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.041,0.010,-0.244
0.406,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.027,0.013,-0.229
0.422,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.017,0.027,-0.229
0.437,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.024,0.019,-0.235
0.453,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.033,0.007,-0.232
0.453,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.023,0.039,-0.226
0.469,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.012,0.029,-0.265
0.484,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.036,0.048,-0.235
0.484,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.011,0.010,-0.232
0.500,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.034,0.010,-0.232
0.516,0.036,-0.279,-0.173,0.000,0.000,-0.000,-0.001,0.004,-0.235
0.531,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.013,0.013,-0.235
0.531,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.014,0.032,-0.247
0.547,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.013,0.025,-0.235
0.562,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.031,0.003,-0.235
0.562,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.000,0.035,-0.226
0.578,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.016,0.008,-0.215
0.594,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.034,0.049,-0.259
0.609,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.028,0.021,-0.247
0.609,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.004,0.014,-0.238
0.625,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.014,0.020,-0.238
0.641,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.009,0.023,-0.250
0.641,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.013,0.013,-0.229
0.656,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.003,0.018,-0.215
0.672,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.030,0.000,-0.241
0.672,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.005,0.021,-0.215
0.687,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.011,0.022,-0.226
0.703,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.021,0.013,-0.241
0.719,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.016,0.019,-0.247
0.719,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.023,0.004,-0.241
0.734,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.020,0.021,-0.235
0.750,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.031,0.003,-0.256
0.750,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.014,0.033,-0.247
0.766,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.019,0.025,-0.247
0.781,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.009,0.007,-0.238
0.797,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.023,-0.012,-0.235
0.797,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.006,0.005,-0.247
0.812,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.028,0.021,-0.235
0.828,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.002,0.015,-0.229
0.828,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.028,0.025,-0.241
0.844,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.016,0.019,-0.253
0.859,0.036,-0.279,-0.173,0.000,0.000,-0.000,0.024,0.035,-0.247
