Time,PosX,PosY,PosZ,VelX,VelY,VelZ,ForceX,ForceY,ForceZ,Action1,Action2,Action3
0,0,0.71,0.66,0,0,0,0,0,0,0,0,0
0,0,0.71,0.66,0,0,0,0,0,0,0.2594,-1.5774,-2.8625
0.02,0,0.71,0.66,0.0001,-0.0003,-0.0011,0.0009,-0.0031,-0.011,,,
0.02,0,0.71,0.66,0.0001,-0.0003,-0.0011,0.0009,-0.0031,-0.011,0.2578,-1.5747,-2.8611
0.04,0,0.71,0.6599,0.0002,-0.0006,-0.0022,0.0009,-0.0031,-0.011,,,
0.04,0,0.71,0.6599,0.0002,-0.0006,-0.0022,0.0009,-0.0031,-0.011,0.2558,-1.5679,-2.8604
0.06,0,0.7099,0.6598,0.0003,-0.0009,-0.0033,0.0008,-0.0031,-0.011,,,
0.06,0,0.7099,0.6598,0.0003,-0.0009,-0.0033,0.0008,-0.0031,-0.011,0.2537,-1.5612,-2.8598
0.08,0,0.7099,0.6598,0.0003,-0.0012,-0.0044,0.0008,-0.0031,-0.011,,,
0.08,0,0.7099,0.6598,0.0003,-0.0012,-0.0044,0.0008,-0.0031,-0.011,0.2517,-1.5545,-2.859
0.1,0,0.7099,0.6597,0.0004,-0.0015,-0.0055,0.0008,-0.003,-0.011,,,
0.1,0,0.7099,0.6597,0.0004,-0.0015,-0.0055,0.0008,-0.003,-0.011,0.2496,-1.5478,-2.8584
0.12,0,0.7099,0.6595,0.0005,-0.0018,-0.0066,0.0008,-0.003,-0.0109,,,
0.12,0,0.7099,0.6595,0.0005,-0.0018,-0.0066,0.0008,-0.003,-0.0109,0.2476,-1.5411,-2.8577
0.14,0,0.7098,0.6594,0.0006,-0.0021,-0.0077,0.0008,-0.003,-0.0109,,,
0.14,0,0.7098,0.6594,0.0006,-0.0021,-0.0077,0.0008,-0.003,-0.0109,0.2456,-1.5344,-2.8571
0.16,0.0001,0.7098,0.6592,0.0007,-0.0024,-0.0088,0.0008,-0.003,-0.0109,,,
0.16,0.0001,0.7098,0.6592,0.0007,-0.0024,-0.0088,0.0008,-0.003,-0.0109,0.2435,-1.5278,-2.8564
0.18,0.0001,0.7097,0.659,0.0007,-0.0027,-0.0099,0.0008,-0.003,-0.0109,,,
0.18,0.0001,0.7097,0.659,0.0007,-0.0027,-0.0099,0.0008,-0.003,-0.0109,0.2415,-1.5212,-2.8558
0.2,0.0001,0.7097,0.6588,0.0008,-0.003,-0.0109,0.0008,-0.003,-0.0109,,,
0.2,0.0001,0.7097,0.6588,0.0008,-0.003,-0.0109,0.0008,-0.003,-0.0109,0.2394,-1.5146,-2.8551
0.22,0.0001,0.7096,0.6586,0.0009,-0.0033,-0.012,0.0008,-0.0029,-0.0109,,,
0.22,0.0001,0.7096,0.6586,0.0009,-0.0033,-0.012,0.0008,-0.0029,-0.0109,0.2374,-1.508,-2.8545
0.24,0.0001,0.7095,0.6583,0.001,-0.0036,-0.0131,0.0008,-0.0029,-0.0109,,,
0.24,0.0001,0.7095,0.6583,0.001,-0.0036,-0.0131,0.0008,-0.0029,-0.0109,0.2354,-1.5015,-2.8538
0.26,0.0002,0.7094,0.658,0.0011,-0.0039,-0.0142,0.0008,-0.0029,-0.0108,,,
0.26,0.0002,0.7094,0.658,0.0011,-0.0039,-0.0142,0.0008,-0.0029,-0.0108,0.2333,-1.4949,-2.8532
0.28,0.0002,0.7094,0.6577,0.0011,-0.0042,-0.0153,0.0007,-0.0029,-0.0108,,,
0.28,0.0002,0.7094,0.6577,0.0011,-0.0042,-0.0153,0.0007,-0.0029,-0.0108,0.2313,-1.4884,-2.8526
0.3,0.0002,0.7093,0.6574,0.0012,-0.0045,-0.0164,0.0007,-0.0029,-0.0108,,,
0.3,0.0002,0.7093,0.6574,0.0012,-0.0045,-0.0164,0.0007,-0.0029,-0.0108,0.2293,-1.4819,-2.8519
0.32,0.0002,0.7092,0.657,0.0013,-0.0048,-0.0174,0.0007,-0.0029,-0.0108,,,
0.32,0.0002,0.7092,0.657,0.0013,-0.0048,-0.0174,0.0007,-0.0029,-0.0108,0.2273,-1.4755,-2.8513
0.34,0.0002,0.7091,0.6567,0.0013,-0.005,-0.0185,0.0007,-0.0028,-0.0108,,,
0.34,0.0002,0.7091,0.6567,0.0013,-0.005,-0.0185,0.0007,-0.0028,-0.0108,0.2253,-1.4691,-2.8507
0.36,0.0003,0.709,0.6563,0.0014,-0.0053,-0.0196,0.0007,-0.0028,-0.0108,,,
0.36,0.0003,0.709,0.6563,0.0014,-0.0053,-0.0196,0.0007,-0.0028,-0.0108,0.2232,-1.4626,-2.8501
0.38,0.0003,0.7089,0.6558,0.0015,-0.0056,-0.0207,0.0007,-0.0028,-0.0108,,,
0.38,0.0003,0.7089,0.6558,0.0015,-0.0056,-0.0207,0.0007,-0.0028,-0.0108,0.2212,-1.4562,-2.8494
0.4,0.0003,0.7087,0.6554,0.0015,-0.0059,-0.0218,0.0007,-0.0028,-0.0108,,,
0.4,0.0003,0.7087,0.6554,0.0015,-0.0059,-0.0218,0.0007,-0.0028,-0.0108,0.2192,-1.4499,-2.8488
0.42,0.0004,0.7086,0.655,0.0016,-0.0062,-0.0228,0.0007,-0.0028,-0.0107,,,
0.42,0.0004,0.7086,0.655,0.0016,-0.0062,-0.0228,0.0007,-0.0028,-0.0107,0.2172,-1.4435,-2.8482
0.44,0.0004,0.7085,0.6545,0.0017,-0.0064,-0.0239,0.0007,-0.0028,-0.0107,,,
0.44,0.0004,0.7085,0.6545,0.0017,-0.0064,-0.0239,0.0007,-0.0028,-0.0107,0.2152,-1.4372,-2.8476
0.46,0.0004,0.7084,0.654,0.0017,-0.0067,-0.025,0.0006,-0.0027,-0.0107,,,
0.46,0.0004,0.7084,0.654,0.0017,-0.0067,-0.025,0.0006,-0.0027,-0.0107,0.2132,-1.4309,-2.847
0.48,0.0005,0.7082,0.6535,0.0018,-0.007,-0.026,0.0006,-0.0027,-0.0107,,,
0.48,0.0005,0.7082,0.6535,0.0018,-0.007,-0.026,0.0006,-0.0027,-0.0107,0.2112,-1.4246,-2.8464
0.5,0.0005,0.7081,0.6529,0.0019,-0.0073,-0.0271,0.0006,-0.0027,-0.0107,,,
0.5,0.0005,0.7081,0.6529,0.0019,-0.0073,-0.0271,0.0006,-0.0027,-0.0107,0.2092,-1.4184,-2.8459
0.52,0.0006,0.7079,0.6524,0.0019,-0.0075,-0.0282,0.0006,-0.0027,-0.0107,,,
0.52,0.0006,0.7079,0.6524,0.0019,-0.0075,-0.0282,0.0006,-0.0027,-0.0107,0.2072,-1.4121,-2.8453
0.54,0.0006,0.7078,0.6518,0.002,-0.0078,-0.0292,0.0006,-0.0027,-0.0107,,,
0.54,0.0006,0.7078,0.6518,0.002,-0.0078,-0.0292,0.0006,-0.0027,-0.0107,0.2052,-1.4059,-2.8447
0.56,0.0006,0.7076,0.6512,0.0021,-0.0081,-0.0303,0.0006,-0.0027,-0.0106,,,
0.56,0.0006,0.7076,0.6512,0.0021,-0.0081,-0.0303,0.0006,-0.0027,-0.0106,0.2032,-1.3997,-2.8441
0.58,0.0007,0.7074,0.6505,0.0021,-0.0083,-0.0314,0.0006,-0.0027,-0.0106,,,
0.58,0.0007,0.7074,0.6505,0.0021,-0.0083,-0.0314,0.0006,-0.0027,-0.0106,0.2012,-1.3935,-2.8435
0.6,0.0007,0.7073,0.6499,0.0022,-0.0086,-0.0324,0.0006,-0.0026,-0.0106,,,
0.6,0.0007,0.7073,0.6499,0.0022,-0.0086,-0.0324,0.0006,-0.0026,-0.0106,0.1993,-1.3874,-2.843
0.62,0.0008,0.7071,0.6492,0.0022,-0.0089,-0.0335,0.0006,-0.0026,-0.0106,,,
0.62,0.0008,0.7071,0.6492,0.0022,-0.0089,-0.0335,0.0006,-0.0026,-0.0106,0.1973,-1.3812,-2.8424
0.64,0.0008,0.7069,0.6485,0.0023,-0.0091,-0.0346,0.0006,-0.0026,-0.0106,,,
0.64,0.0008,0.7069,0.6485,0.0023,-0.0091,-0.0346,0.0006,-0.0026,-0.0106,0.1953,-1.3751,-2.8418
0.66,0.0009,0.7067,0.6478,0.0023,-0.0094,-0.0356,0.0005,-0.0026,-0.0106,,,
0.66,0.0009,0.7067,0.6478,0.0023,-0.0094,-0.0356,0.0005,-0.0026,-0.0106,0.1933,-1.369,-2.8413
0.68,0.0009,0.7065,0.6471,0.0024,-0.0096,-0.0367,0.0005,-0.0026,-0.0106,,,
0.68,0.0009,0.7065,0.6471,0.0024,-0.0096,-0.0367,0.0005,-0.0026,-0.0106,0.1913,-1.363,-2.8407
0.7,0.001,0.7063,0.6463,0.0024,-0.0099,-0.0377,0.0005,-0.0026,-0.0106,,,
0.7,0.001,0.7063,0.6463,0.0024,-0.0099,-0.0377,0.0005,-0.0026,-0.0106,0.1894,-1.3569,-2.8401
0.72,0.001,0.7061,0.6455,0.0025,-0.0102,-0.0388,0.0005,-0.0026,-0.0105,,,
0.72,0.001,0.7061,0.6455,0.0025,-0.0102,-0.0388,0.0005,-0.0026,-0.0105,0.1874,-1.3509,-2.8396
0.74,0.0011,0.7059,0.6448,0.0025,-0.0104,-0.0398,0.0005,-0.0025,-0.0105,,,
0.74,0.0011,0.7059,0.6448,0.0025,-0.0104,-0.0398,0.0005,-0.0025,-0.0105,0.1854,-1.3449,-2.839
0.76,0.0011,0.7057,0.6439,0.0026,-0.0107,-0.0409,0.0005,-0.0025,-0.0105,,,
0.76,0.0011,0.7057,0.6439,0.0026,-0.0107,-0.0409,0.0005,-0.0025,-0.0105,0.1835,-1.3389,-2.8385
0.78,0.0012,0.7055,0.6431,0.0026,-0.0109,-0.0419,0.0005,-0.0025,-0.0105,,,
0.78,0.0012,0.7055,0.6431,0.0026,-0.0109,-0.0419,0.0005,-0.0025,-0.0105,0.1815,-1.3329,-2.838
0.8,0.0012,0.7053,0.6422,0.0027,-0.0112,-0.043,0.0005,-0.0025,-0.0105,,,
0.8,0.0012,0.7053,0.6422,0.0027,-0.0112,-0.043,0.0005,-0.0025,-0.0105,0.1795,-1.327,-2.8374
0.82,0.0013,0.705,0.6414,0.0027,-0.0114,-0.044,0.0004,-0.0025,-0.0105,,,
